ra,dec,u,g,r,i,z
230.404613991491,27.2708236617236,23.58243,23.13984,22.88579,23.15336,22.77305
230.543419934944,27.630760925949,24.22367,25.45531,24.9678,24.09293,20.76897
230.531036251381,27.8187799564366,22.1557,19.3913,18.00441,17.30685,16.92461
230.532192253782,27.9257905184015,24.1153,23.3634,24.18064,22.89505,22.86572
230.779370213328,27.5257617874988,25.70292,22.23024,20.88997,19.3618,18.65335
230.962845057616,27.5130882076035,20.35882,19.35238,19.14277,19.03771,19.02172
230.946696431991,27.3677971004786,22.74801,20.39452,18.90407,18.06096,17.60553
230.757272148404,27.6290273001203,25.01924,24.54201,24.44685,22.74224,23.10014
230.387099753335,27.5392753086659,22.99954,22.51791,21.71069,21.47845,20.63393
230.322695128739,27.3055662200167,23.77341,24.00238,22.70798,21.69856,22.79003
230.305919948583,27.8234536604242,23.56371,23.31176,21.64724,20.40113,19.60758
230.112664032637,28.0268806696076,24.12008,24.18173,23.15531,21.67108,21.64439
230.303724467307,27.2799715464236,24.07763,24.60091,23.28624,21.58426,20.50245
230.699264754266,28.1381714996823,23.45524,23.87016,21.39499,20.08374,19.47046
230.484048867172,27.5190902395913,23.79842,23.13144,21.7204,20.84509,20.48781
231.031969091344,27.5786299166407,24.19115,22.40429,21.43529,20.97491,20.87543
230.867895359638,27.5846724216376,24.97134,23.5535,22.57915,22.04616,21.10707
230.711899215508,27.4173385003986,25.12879,24.7779,23.83306,22.04989,21.89603
230.610819760147,28.1848914372272,20.39501,19.36483,19.03259,18.79078,18.70701
230.405541430419,28.1703656309241,24.29237,22.79892,22.14429,22.35639,23.63069
230.966930771633,27.5147343844669,23.34016,22.66754,21.8572,21.17267,20.66542
230.816736286429,27.7243613818635,24.49671,24.33319,22.8884,22.8489,22.35792
230.694809681604,27.2354109155087,22.81915,22.43469,21.27235,20.76803,20.37362
230.874092005818,27.9194220238864,22.33725,20.53947,19.28845,18.81398,18.465
230.385558868152,27.7849502189112,24.94132,23.1794,23.24667,22.8796,22.71219
230.910149634196,28.1658946641994,23.36137,23.47799,22.20801,21.94847,22.94159
230.75699213439,27.3678814499826,23.96935,22.61731,22.18752,22.67324,22.19591
230.180466954058,27.9247356555395,25.01797,23.4166,22.79705,21.89865,22.1152
231.076740591899,27.8194721748987,18.33499,16.89783,16.35506,16.15745,16.06481
231.039592181572,27.8594480795705,23.1852,23.56436,22.13353,21.23512,20.95232
230.230090903007,27.8640965226336,23.53501,23.45098,24.1706,23.43502,22.69322
